$GPGGA;050340;5011.27;N;1408.97;E;1;07;1.5;1044.2;M;-34.0;M;;;75
$GPGGA;050341;5011.26;N;1408.97;E;1;07;1.5;1040.4;M;-34.0;M;;;75
$GPGGA;050342;5011.26;N;1408.97;E;1;07;1.5;1032.9;M;-34.0;M;;;75
$GPGGA;050344;5011.25;N;1408.97;E;1;07;1.5;1017.9;M;-34.0;M;;;75
$GPGGA;050346;5011.25;N;1408.97;E;1;07;1.5;1002.9;M;-34.0;M;;;75
$GPGGA;050348;5011.24;N;1408.98;E;1;07;1.5;987.9;M;-34.0;M;;;75
$GPGGA;050349;5011.24;N;1408.98;E;1;07;1.5;980.4;M;-34.0;M;;;75
$GPGGA;050350;5011.24;N;1408.99;E;1;07;1.5;972.9;M;-34.0;M;;;75
$GPGGA;050352;5011.23;N;1409.00;E;1;07;1.5;957.9;M;-34.0;M;;;75
$GPGGA;050353;5011.23;N;1409.01;E;1;07;1.5;950.4;M;-34.0;M;;;75
$GPGGA;050355;5011.23;N;1409.02;E;1;07;1.5;935.4;M;-34.0;M;;;75
$GPGGA;050356;5011.22;N;1409.03;E;1;07;1.5;927.9;M;-34.0;M;;;75
$GPGGA;050358;5011.21;N;1409.04;E;1;07;1.5;912.9;M;-34.0;M;;;75
$GPGGA;050359;5011.21;N;1409.04;E;1;07;1.5;905.4;M;-34.0;M;;;75
$GPGGA;050401;5011.21;N;1409.05;E;1;07;1.5;890.4;M;-34.0;M;;;75
$GPGGA;050403;5011.21;N;1409.05;E;1;07;1.5;875.4;M;-34.0;M;;;75
$GPGGA;050404;5011.20;N;1409.05;E;1;07;1.5;867.9;M;-34.0;M;;;75
$GPGGA;050406;5011.19;N;1409.05;E;1;07;1.5;852.9;M;-34.0;M;;;75
$GPGGA;050407;5011.18;N;1409.05;E;1;07;1.5;845.4;M;-34.0;M;;;75
$GPGGA;050408;5011.18;N;1409.06;E;1;07;1.5;837.9;M;-34.0;M;;;75
$GPGGA;050409;5011.18;N;1409.06;E;1;07;1.5;830.4;M;-34.0;M;;;75
$GPGGA;050411;5011.18;N;1409.06;E;1;07;1.5;815.4;M;-34.0;M;;;75
$GPGGA;050413;5011.17;N;1409.07;E;1;07;1.5;800.4;M;-34.0;M;;;75
$GPGGA;050414;5011.16;N;1409.08;E;1;07;1.5;792.9;M;-34.0;M;;;75
$GPGGA;050415;5011.15;N;1409.09;E;1;07;1.5;785.4;M;-34.0;M;;;75
$GPGGA;050416;5011.14;N;1409.10;E;1;07;1.5;777.9;M;-34.0;M;;;75
$GPGGA;050417;5011.13;N;1409.11;E;1;07;1.5;770.4;M;-34.0;M;;;75
